semestre;sexo;alumno;asignatura;tipo;ep1;ep2;ea;pf;estado
1;2;1712820101;ATSH101;1;11;11;0;11;A
1;2;1712820102;ATSH101;1;12;12;0;12;A
1;2;1712820103;ATSH101;1;15;15;0;15;A
1;2;1712820104;ATSH101;1;11;11;0;11;A
1;2;1712820105;ATSH101;1;15;15;0;15;A
1;2;1712820106;ATSH101;1;13;13;0;13;A
1;1;1712820107;ATSH101;1;11;11;0;11;A
1;2;1712820108;ATSH101;1;12;12;0;12;A
1;2;1712820109;ATSH101;1;13;13;0;13;A
1;2;1712820110;ATSH101;1;13;13;0;13;A
1;1;1712820111;ATSH101;1;15;15;0;15;A
1;2;1712820112;ATSH101;1;14;14;0;14;A
1;2;1712820113;ATSH101;1;14;14;0;14;A
1;2;1712820114;ATSH101;1;14;14;0;14;A
1;1;1712820115;ATSH101;1;16;16;0;16;A
1;2;1712820116;ATSH101;1;14;14;0;14;A
1;2;1712820117;ATSH101;1;12;12;0;12;A
1;2;1712820118;ATSH101;1;15;15;0;15;A
1;2;1712820119;ATSH101;1;12;12;0;12;A
1;2;1712820120;ATSH101;1;12;12;0;12;A
1;2;1712820121;ATSH101;1;12;12;0;12;A
1;2;1712820122;ATSH101;1;14;14;0;14;A
1;2;1712820123;ATSH101;1;0;0;0;0;A
1;2;1712820124;ATSH101;1;0;0;0;0;A
1;2;1712820125;ATSH101;1;13;13;0;13;A
1;2;1712820126;ATSH101;1;12;12;0;12;A
1;2;1712820127;ATSH101;1;13;13;0;13;A
1;2;1712820128;ATSH101;1;14;14;0;14;A
1;2;1712820129;ATSH101;1;0;0;0;0;A
1;1;1712820130;ATSH101;1;0;0;0;0;A
1;2;1712820101;ATSH102;1;13;13;0;13;A
1;2;1712820102;ATSH102;1;11;11;0;11;A
1;2;1712820103;ATSH102;1;14;14;0;14;A
1;2;1712820104;ATSH102;1;7;7;0;7;A
1;2;1712820105;ATSH102;1;12;12;0;12;A
1;2;1712820106;ATSH102;1;11;11;0;11;A
1;1;1712820107;ATSH102;1;2;2;0;2;A
1;2;1712820108;ATSH102;1;8;8;0;8;A
1;2;1712820109;ATSH102;1;11;11;0;11;A
1;2;1712820110;ATSH102;1;11;11;0;11;A
1;1;1712820111;ATSH102;1;16;16;0;16;A
1;2;1712820112;ATSH102;1;11;11;0;11;A
1;2;1712820113;ATSH102;1;15;15;0;15;A
1;2;1712820114;ATSH102;1;13;13;0;13;A
1;1;1712820115;ATSH102;1;18;18;0;18;A
1;2;1712820116;ATSH102;1;11;11;0;11;A
1;2;1712820117;ATSH102;1;5;5;0;5;A
1;2;1712820118;ATSH102;1;15;15;0;15;A
1;2;1712820119;ATSH102;1;16;16;0;16;A
1;2;1712820120;ATSH102;1;11;11;0;11;A
1;2;1712820121;ATSH102;1;11;11;0;11;A
1;2;1712820122;ATSH102;1;15;15;0;15;A
1;2;1712820123;ATSH102;1;0;0;0;0;A
1;2;1712820124;ATSH102;1;0;0;0;0;A
1;2;1712820125;ATSH102;1;11;11;0;11;A
1;2;1712820126;ATSH102;1;8;8;0;8;A
1;2;1712820127;ATSH102;1;8;8;0;8;A
1;2;1712820128;ATSH102;1;12;12;0;12;A
1;2;1712820129;ATSH102;1;0;0;0;0;A
1;1;1712820130;ATSH102;1;0;0;0;0;A
1;2;1712820101;ATSH103;1;11;11;0;11;A
1;2;1712820102;ATSH103;1;12;12;0;12;A
1;2;1712820103;ATSH103;1;13;13;0;13;A
1;2;1712820104;ATSH103;1;11;11;0;11;A
1;2;1712820105;ATSH103;1;14;14;0;14;A
1;2;1712820106;ATSH103;1;13;13;0;13;A
1;1;1712820107;ATSH103;1;11;11;0;11;A
1;2;1712820108;ATSH103;1;13;13;0;13;A
1;2;1712820109;ATSH103;1;12;12;0;12;A
1;2;1712820110;ATSH103;1;13;13;0;13;A
1;1;1712820111;ATSH103;1;15;15;0;15;A
1;2;1712820112;ATSH103;1;13;13;0;13;A
1;2;1712820113;ATSH103;1;15;15;0;15;A
1;2;1712820114;ATSH103;1;13;13;0;13;A
1;1;1712820115;ATSH103;1;15;15;0;15;A
1;2;1712820116;ATSH103;1;13;13;0;13;A
1;2;1712820117;ATSH103;1;11;11;0;11;A
1;2;1712820118;ATSH103;1;13;13;0;13;A
1;2;1712820119;ATSH103;1;14;14;0;14;A
1;2;1712820120;ATSH103;1;12;12;0;12;A
1;2;1712820121;ATSH103;1;12;12;0;12;A
1;2;1712820122;ATSH103;1;13;13;0;13;A
1;2;1712820123;ATSH103;1;0;0;0;0;A
1;2;1712820124;ATSH103;1;0;0;0;0;A
1;2;1712820125;ATSH103;1;13;13;0;13;A
1;2;1712820126;ATSH103;1;12;12;0;12;A
1;2;1712820127;ATSH103;1;12;12;0;12;A
1;2;1712820128;ATSH103;1;13;13;0;13;A
1;2;1712820129;ATSH103;1;0;0;0;0;A
1;1;1712820130;ATSH103;1;0;0;0;0;A
1;2;1712820101;ATSH104;1;11;11;0;11;A
1;2;1712820102;ATSH104;1;11;11;0;11;A
1;2;1712820103;ATSH104;1;16;16;0;16;A
1;2;1712820104;ATSH104;1;11;11;0;11;A
1;2;1712820105;ATSH104;1;16;16;0;16;A
1;2;1712820106;ATSH104;1;13;13;0;13;A
1;1;1712820107;ATSH104;1;11;11;0;11;A
1;2;1712820108;ATSH104;1;12;12;0;12;A
1;2;1712820109;ATSH104;1;14;14;0;14;A
1;2;1712820110;ATSH104;1;13;13;0;13;A
1;1;1712820111;ATSH104;1;17;17;0;17;A
1;2;1712820112;ATSH104;1;15;15;0;15;A
1;2;1712820113;ATSH104;1;16;16;0;16;A
1;2;1712820114;ATSH104;1;13;13;0;13;A
1;1;1712820115;ATSH104;1;17;17;0;17;A
1;2;1712820116;ATSH104;1;12;12;0;12;A
1;2;1712820117;ATSH104;1;13;13;0;13;A
1;2;1712820118;ATSH104;1;15;15;0;15;A
1;2;1712820119;ATSH104;1;15;15;0;15;A
1;2;1712820120;ATSH104;1;12;12;0;12;A
1;2;1712820121;ATSH104;1;11;11;0;11;A
1;2;1712820122;ATSH104;1;14;14;0;14;A
1;2;1712820123;ATSH104;1;0;0;0;0;A
1;2;1712820124;ATSH104;1;0;0;0;0;A
1;2;1712820125;ATSH104;1;11;11;0;11;A
1;2;1712820126;ATSH104;1;6;6;0;6;A
1;2;1712820127;ATSH104;1;7;7;0;7;A
1;2;1712820128;ATSH104;1;13;13;0;13;A
1;2;1712820129;ATSH104;1;0;0;0;0;A
1;1;1712820130;ATSH104;1;0;0;0;0;A
1;2;1712820101;ATSH107;1;11;11;0;11;A
1;2;1712820102;ATSH107;1;11;11;0;11;A
1;2;1712820103;ATSH107;1;16;16;0;16;A
1;2;1712820104;ATSH107;1;11;11;0;11;A
1;2;1712820105;ATSH107;1;16;16;0;16;A
1;2;1712820106;ATSH107;1;13;13;0;13;A
1;1;1712820107;ATSH107;1;11;11;0;11;A
1;2;1712820108;ATSH107;1;13;13;0;13;A
1;2;1712820109;ATSH107;1;14;14;0;14;A
1;2;1712820110;ATSH107;1;13;13;0;13;A
1;1;1712820111;ATSH107;1;17;17;0;17;A
1;2;1712820112;ATSH107;1;14;14;0;14;A
1;2;1712820113;ATSH107;1;16;16;0;16;A
1;2;1712820114;ATSH107;1;13;13;0;13;A
1;1;1712820115;ATSH107;1;17;17;0;17;A
1;2;1712820116;ATSH107;1;12;12;0;12;A
1;2;1712820117;ATSH107;1;14;14;0;14;A
1;2;1712820118;ATSH107;1;15;15;0;15;A
1;2;1712820119;ATSH107;1;15;15;0;15;A
1;2;1712820120;ATSH107;1;13;13;0;13;A
1;2;1712820121;ATSH107;1;11;11;0;11;A
1;2;1712820122;ATSH107;1;14;14;0;14;A
1;2;1712820123;ATSH107;1;0;0;0;0;A
1;2;1712820124;ATSH107;1;0;0;0;0;A
1;2;1712820125;ATSH107;1;12;12;0;12;A
1;2;1712820126;ATSH107;1;6;6;0;6;A
1;2;1712820127;ATSH107;1;6;6;0;6;A
1;2;1712820128;ATSH107;1;13;13;0;13;A
1;2;1712820129;ATSH107;1;0;0;0;0;A
1;1;1712820130;ATSH107;1;0;0;0;0;A
1;2;1712820101;ATSH201;1;12;12;0;12;A
1;2;1712820102;ATSH201;1;11;11;0;11;A
1;2;1712820103;ATSH201;1;16;16;0;16;A
1;2;1712820104;ATSH201;1;11;11;0;11;A
1;2;1712820105;ATSH201;1;16;16;0;16;A
1;2;1712820106;ATSH201;1;13;13;0;13;A
1;1;1712820107;ATSH201;1;11;11;0;11;A
1;2;1712820108;ATSH201;1;12;12;0;12;A
1;2;1712820109;ATSH201;1;14;14;0;14;A
1;2;1712820110;ATSH201;1;11;11;0;11;A
1;1;1712820111;ATSH201;1;17;17;0;17;A
1;2;1712820112;ATSH201;1;15;15;0;15;A
1;2;1712820113;ATSH201;1;16;16;0;16;A
1;2;1712820114;ATSH201;1;13;13;0;13;A
1;1;1712820115;ATSH201;1;16;16;0;16;A
1;2;1712820116;ATSH201;1;11;11;0;11;A
1;2;1712820117;ATSH201;1;13;13;0;13;A
